ID,HOA,COA,chi,COA_full_pred,COA_source_pred,COA_solo_pred,HOA_full_pred,HOA_source_pred,chi_pred
18592,2168,596,0.44,723.760943387815,616.2395114112327,656.1204756703794,1759.7623594803313,1842.0583128079068,0.4362905006857952
18593,2039,239,0.49,749.2785005802002,580.0007116158923,685.3572699664966,2061.9714414378313,1986.9720875877447,0.43324185625855327
18594,2735,553,0.43,727.9694061852698,554.6363559920544,676.8111298730793,2237.4747960531995,2236.1242092580014,0.4625049833214875
18596,3163,0,0.44,643.7207255880198,476.8521072276276,572.064691811575,3271.975183726498,3250.302725210751,0.45132454545089773
18841,2136,1671,0.39,1752.6448915617032,1798.663807320238,1643.775947734014,2063.826580171973,2322.3440796168206,0.4057774938504324
18842,2345.94595,1664,0.45,2441.5066261650973,2493.471309955995,2389.1529964633687,2035.3199462519078,2300.771194432617,0.38577679804745024
18843,2073,1869,0.46,2181.644900413354,2284.146622759517,2139.381789207256,2342.5281933866468,2581.487301657828,0.3914762859117895
19097,1239,2059,0.35,1154.6744438872145,1190.1226704124238,985.7767556424265,2228.868377286673,2193.3852511568807,0.41644010407990495
19098,2769,3764.86486,0.394,4116.817508877721,4121.972556265161,4200.91054370609,2471.4169594568816,2532.76648405014,0.36121408344184847
19099,1415,3200,0.41,3577.1977530086974,3596.756667780906,3617.773561535628,1970.6852495296553,2062.7175621071056,0.3536293928150478
19100,2346,1400,0.34,1433.1960402249988,1484.126712105294,1310.2937539519057,2277.106193242373,2447.2808597885983,0.3774258612016703
19101,3190.54054,2747,0.3,1889.8020667652027,1908.2178727125213,1832.9014670350525,2715.51880160406,2622.1691452829073,0.40430440895479935
19356,2625.6,3447.2973,0.38,3712.379720433347,3729.661302096629,3751.7374142835115,2856.380614804102,2444.7569258145554,0.34363195342306063
19358,2494,2993,0.289,2991.027981050124,2978.821075022535,2982.487934845492,2587.7054195518594,2673.903416357337,0.32484883946870025
19359,2739.6,2194,0.37,2504.866370741599,2515.5149251969415,2468.6473318826975,3083.1557663288922,2716.7309296910817,0.3785763534621076
19617,3253,3826,0.32,2325.3107432322076,2387.0695660501096,2251.944284828876,2291.5600595447063,2419.6504391743683,0.3259297995716032
19618,2932,3729,0.34,3102.9261196133084,3127.9479147444126,3100.9430538242427,2406.8351282792237,2436.834714758058,0.37173034221167145
19619,2310.81081,1296,0.404,1057.4318323039417,1086.4320934825644,895.1541120274821,2412.7432294941236,2491.6512847526747,0.3906435144322168
20402,2344.5,3266,0.4863,1722.8867226452307,1632.7450135317001,1604.3747979700745,2280.5971169437667,2270.5471846742125,0.4741643033739493
20665,2305,1989,0.54,2848.520037824058,2792.6215432505965,2825.810431937917,2212.04048949925,2106.7776611868985,0.5213692210905938
20666,2137.8,722,0.549,1645.5894943763135,1619.6772065678483,1541.3329661541807,2011.8871193251678,1915.437648452923,0.5500889157691538
20922,3758.16327,0,0.45,1214.8320613379778,1015.3608990628953,1098.6494588521489,3766.7755990211067,3938.027275696619,0.40757660103924176
20929,1607,528,0.589,1510.8886325495987,1515.443100538222,1376.0765396050538,2066.913795593537,2000.053105679735,0.5459260186879489
20930,2046,1658,0.65,901.7900631441358,955.3207199068627,732.5348241960626,2197.1016983719137,2060.191152432779,0.5567799238736546
21188,4256.4,71,0.37,803.5923915027454,619.8211586598836,631.1664146762856,4142.509347432405,4068.7878908236953,0.42683433264124904
21194,1435,1400,0.62,1131.131247588858,1215.008453129372,966.0761804095091,1899.5441070510144,1915.7209560803108,0.54337906198152
21195,1533,846,0.63,952.9825685000844,1068.271349872577,781.5575679353756,1969.7194686991256,1924.1793022768156,0.5592201151589582
21451,5114,82,0.36,853.4470457368241,541.0835302599196,709.6105195695939,4840.586933043958,4842.567841716602,0.42729325499748927
21460,1661,1114,0.531,815.7506702764015,974.2169735083927,619.3460701033594,1862.7437730427303,1926.297918632187,0.5488998532165603
21461,1811,713,0.65,1050.1238346768553,1202.5298407327423,879.8571965217413,2256.793360758532,2132.705326103442,0.5605251153526183
21727,2613,726,0.565,1042.036007835886,1250.945214822316,864.4326372808748,1834.9567453309764,1889.111304566153,0.5482751772588734
22267,1610,1268,0.667,623.0049932733394,913.3564860887973,593.9922875411098,1719.472529234502,1558.7284903617292,0.5298160030765362
22268,2191,467,0.645,558.9508799990945,804.377770775817,572.064691811575,1836.8028299107618,1653.2450161046188,0.5391855057819708
22269,1573,0,0.615,546.66153754565,665.0158633302236,572.064691811575,1844.2118267587025,1665.851693153714,0.5467087059278435
22537,1329.6,1477,0.642,683.1630281774397,898.3239953312344,694.2082523984006,1743.5553600827586,1617.786073849196,0.5121463332899004
24717,1840,493,0.489,1164.6169828016905,854.9775356437352,1001.5372129479786,1662.5847619166243,1670.8818383454225,0.5281447164044167
24718,2632.8,1851,0.466,1020.9435190997851,804.8429945024645,847.5090303320228,1949.6630347617083,1953.9098990834389,0.5381390621306457
24992,1871,286,0.498,878.9344767642638,595.0461272749106,784.8308945968789,1611.1502027168442,1531.0416851416574,0.5278186712219253
