block_group,UFP_mean,asian_non_his,hispanic_any_race,black_non_hisp,two_or_more_race,white_non_his,american_indian,house_less20k,house_20_35k,house_35_50k,house_50_75k,house_more_75,education_less_highschool,education_highschool,education_some_college,education_college_degree,education_graduate,age_less_5_male,age_5_17_male,age_18_65_male,age_more_65_male,age_less_5_female,age_5_17_female,age_18_65_female,age_more_65_female,pm25,no2
420031115001,14814.861302161184,34,6,432,22,137,0,190,117,60,29,10,53,202,152,42,62,13,10,165,25,11,65,253,89,10.8913261558785,11.4268611624835
420031115002,14364.446888156177,228,14,706,24,528,0,302,268,118,109,121,26,180,186,343,249,169,5,552,55,11,44,550,122,11.1536526657997,12.3061150195059
420031115003,18246.656540835556,21,7,102,3,41,2,70,0,0,10,11,11,53,26,27,24,0,0,50,4,22,0,63,37,10.8727717647059,12.5636729411765
420031207002,13716.734926757812,0,0,296,0,0,0,58,14,19,6,13,50,67,36,6,0,40,18,37,13,0,41,144,22,11.4239673184358,11.1514156424581
420031208001,11002.330821949046,0,0,247,0,0,0,63,15,18,18,0,51,57,58,3,0,6,49,18,33,0,22,80,39,11.1076349295775,11.3014983098592
420031208002,16392.95155585784,0,0,356,0,155,0,34,13,15,31,20,118,172,66,11,0,39,57,102,95,11,0,107,100,11.3162876984127,11.5519942460317
420031301001,10569.688017068001,56,13,717,36,0,0,161,65,88,10,27,74,123,191,17,31,63,48,186,51,69,64,329,7,10.2707290986602,9.26387
420031301002,9947.757250774555,0,0,585,6,0,0,78,59,13,14,8,26,139,138,24,20,32,61,118,37,46,89,186,38,10.5510165201465,9.84588071428571
420031301003,10425.141927031375,0,0,258,86,0,0,154,22,21,6,0,49,60,62,12,15,20,25,66,30,10,49,111,33,10.983273480663,10.5069979742173
420031302001,10906.42994440295,0,0,651,0,0,0,54,74,34,10,15,57,70,129,6,13,8,81,104,24,39,172,182,31,10.9106759818731,10.1991707703927
420031303002,12056.695326816554,16,0,449,0,11,0,93,0,8,26,44,5,36,124,26,54,0,6,109,13,28,126,185,16,11.3502706293706,11.1060898601399
420031405001,18396.271110504218,0,0,357,13,251,0,57,55,63,51,100,55,66,199,115,84,7,25,231,54,0,39,235,30,11.0254897657213,11.4828261405672
420031405002,11749.92260167019,10,0,146,0,244,0,47,39,0,54,70,13,34,88,135,52,20,14,142,26,0,3,172,35,11.407572168906,11.5691024952015
420031405003,11673.518551863841,19,15,219,15,598,0,83,45,43,139,186,0,59,109,249,324,8,0,353,44,2,6,400,80,11.1067060941828,11.3753113573407
420031406001,10861.384696910827,39,0,72,32,1237,0,75,78,18,81,346,11,65,94,302,552,27,104,423,177,131,24,358,136,10.5095271689136,10.9274525773196
420031406002,12765.668289607573,44,0,56,9,674,0,28,5,19,42,219,8,65,53,149,318,22,62,247,44,16,71,278,49,10.3264358419689,10.7766164507772
420031404003,11340.164417007925,31,57,31,18,864,7,32,16,22,53,284,5,35,41,208,463,15,83,298,72,26,95,334,85,10.6289321465969,11.0882592670157
420031408001,11490.37922372587,115,51,34,71,1757,0,52,82,27,141,473,0,118,229,407,718,102,151,596,153,62,175,611,174,10.074945474339,11.5808419906687
420031414003,13113.250024753492,13,11,261,28,739,0,0,25,17,42,265,13,0,199,221,267,14,49,344,49,12,92,414,65,10.6429586032389,12.9658900809717
420034803001,11159.37203297259,0,14,0,0,692,0,18,18,30,116,96,38,193,190,40,81,14,28,290,69,7,95,150,53,10.152223433908,9.11857234195402
420031303003,11916.191192509023,0,3,521,0,14,0,226,53,21,22,11,50,163,172,29,20,17,26,142,48,0,19,155,125,11.2781383399209,11.0524292490119
420031304001,12180.549959201257,0,0,299,0,0,1,69,39,9,5,6,37,71,43,1,5,15,17,21,26,40,20,109,45,11.0980837092732,10.3800248120301
420031304002,13796.007044249043,0,0,363,22,0,0,97,19,0,37,10,61,53,68,29,18,34,49,90,22,11,7,116,57,11.2264128630705,10.8177784232365
420031304003,11044.248489751888,38,0,271,43,32,0,47,54,11,30,14,46,85,43,35,20,0,25,121,18,29,49,101,41,11.1314764516129,10.7169251612903
420031306002,11261.958885985367,0,0,470,36,51,0,128,90,13,61,18,27,247,148,10,20,0,0,153,97,16,32,183,76,10.3313889440994,9.32647029503106
420031306003,10004.990646357413,0,0,1465,44,114,0,409,108,64,53,90,62,409,325,82,61,75,94,316,92,95,233,670,64,10.2315996300103,9.47549214799589
420031401001,11581.289420639941,141,42,86,9,884,0,71,33,8,20,251,20,11,73,160,323,15,93,448,73,42,28,379,87,10.613349921875,11.263241640625
420031408002,12898.802134960872,250,105,3,19,1128,0,94,137,19,111,315,64,55,86,307,619,51,93,584,100,35,84,463,84,10.6182643458731,11.897954856822
420031408003,12226.248261446854,257,0,0,0,851,0,212,62,35,31,152,12,44,44,259,247,20,59,422,32,16,69,345,145,10.9943451421801,12.5061771327014
420031410001,10852.059865669673,9,23,13,0,1014,0,29,35,82,98,237,10,64,78,228,406,40,130,323,61,28,53,316,104,10.4149394396552,11.3930779094828
420031413001,11384.27921159033,220,15,21,0,1071,0,76,82,67,56,298,35,166,107,232,476,17,94,372,153,26,59,297,277,10.7546778364116,11.7900964379947
420031413002,13124.187356876668,518,43,20,105,1128,0,244,77,139,206,222,20,213,135,314,528,46,77,705,60,56,107,774,52,10.7034264199107,12.4482631780472
420031413003,12387.991863985088,577,121,70,54,1404,5,250,202,121,103,314,151,139,204,686,478,17,21,785,203,13,65,846,296,10.8076275071633,12.487567669532
420031516001,10789.420088724873,9,116,47,0,985,0,28,84,17,115,259,46,256,200,197,204,55,60,423,40,19,55,465,55,10.7839906140351,11.7385831578947
420031516003,10132.91534207621,46,85,0,43,523,0,10,41,53,56,102,0,157,137,118,86,10,8,257,31,49,61,270,11,10.8486309338521,11.5504424124514
420031403001,10963.188759660892,0,22,63,66,565,0,48,28,19,29,145,12,63,42,129,229,29,76,193,25,22,60,264,54,10.5074575949367,11.2200844303797
