fips,pollutant,year,pred_wght,state_abbr,lat,lon
420030402002,no2,2015,12.6672872316384,PA,40.4411134463277,-79.9622662146893
420030404001,no2,2015,12.8069408805031,PA,40.446297327044,-79.9482705974843
420030404002,no2,2015,12.5321767818575,PA,40.4481016738661,-79.9505279157667
420030405001,no2,2015,13.6744320903361,PA,40.4398033088235,-79.9547912289916
420030405002,no2,2015,13.7857347486034,PA,40.4381250837989,-79.9574910614525
420030406001,no2,2015,13.3378326923077,PA,40.4367304347826,-79.9532610367893
420030409001,no2,2015,14.0298396428571,PA,40.4347850892857,-79.9616872321429
420030409002,no2,2015,13.6269122807018,PA,40.4321392105263,-79.9552189473684
420030409003,no2,2015,13.3550097320169,PA,40.4310002820874,-79.952698448519
420030501001,no2,2015,11.025060106383,PA,40.4503140070922,-79.9677466312057
420030501002,no2,2015,11.4958692307692,PA,40.4471209134615,-79.9715358173077
